상품명,가격,별점,리뷰 수,스펙,상품 상세 URL
삼성전자 갤럭시북5 NT750XHD-KC51G,1425000,5.0,502,노트북/ 39.6cm(15.6인치)/ 1.55kg/ 최대 19시간/ 윈도우11홈/ / [화면] 해상도: 1920x1080(FHD)/ / [CPU] 인텔/ 코어 울트라5(S2)/225U (4.8GHz)/ NPU: 12TOPS/ / [그래픽] 내장그래픽/Intel Graphics/ / SSD 512GB,https://prod.danawa.com/info/?pcode=93632033&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
LG전자 울트라PC 15U50T-GROWK,696340,4.8,48327,노트북/ 39.6cm(15.6인치)/ 1.7kg/ 윈도우11홈/ / [화면] 해상도: 1920x1080(FHD)/ / [CPU] 인텔/ 코어i5-13세대/ i5-1334U (1.3GHz)/ / [그래픽] 내장그래픽/UHD Graphics/ / SSD 256GB / SSD 512GB,https://prod.danawa.com/info/?pcode=70335269&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
LG전자 2026 그램15 15Z95U-GS5WK,1588600,,,LG전자 2026 그램15 15Z95U-GS5WK / AI노트북/ 39.6cm(15.6인치)/ 1.29kg/ 최대 32시간/ 윈도우11홈/ / [화면] 해상도: 1920x1080(FHD)/ 밝기: 350nit/ / [CPU] AMD/ 라이젠AI 5/435 (4.5GHz)/ NPU: 50TOPS/ / [그래픽] 내장그래픽/Radeon 840M/ 4core/ / 신소재 탑재한 2026 그램 총정리 / SSD 512GB,https://prod.danawa.com/info/?pcode=103451189&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
레노버 아이디어패드 Slim3 15IRU8 82X700HWKR,491000,4.8,487,노트북/ 39.62cm(15.6인치)/ 1.62kg/ OS미포함(프리도스)/ / [화면] 해상도: 1920x1080(FHD)/ 밝기: 300nit/ / [CPU] 인텔/ 코어i3-13세대/ i3-1315U (1.2GHz)/ / [그래픽] 내장그래픽/UHD Graphics/ / SSD 512GB,https://prod.danawa.com/info/?pcode=97304741&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
MSI 모던시리즈 모던 15 B7M-R5 포스 W11,721050,,1,노트북/ 39.6cm(15.6인치)/ 1.75kg/ 윈도우11홈/ / [화면] 해상도: 1920x1080(FHD)/ 밝기: 250nit/ / [CPU] AMD/ 라이젠5(Zen3)/7430U (2.3Hz)/ / [그래픽] 내장그래픽/Radeon Graphics/ 7core/ / SSD 512GB,https://prod.danawa.com/info/?pcode=74805575&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=11252476
LG전자 울트라PC 15UD50T-GX5JK WIN11,673430,5.0,507,노트북/ 39.6cm(15.6인치)/ 1.7kg/ 윈도우11(설치)/ / [화면] 해상도: 1920x1080(FHD)/ / [CPU] 인텔/ 코어i5-13세대/ i5-1334U (1.3GHz)/ / [그래픽] 내장그래픽/UHD Graphics/ / SSD 256GB / SSD 512GB,https://prod.danawa.com/info/?pcode=72721655&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
HP 옴니북 7 Aero 13-bg0082AU WIN11,1097640,4.6,463,노트북/ 33.8cm(13.3인치)/ 998g/ 윈도우11(설치)/ / [화면] 해상도: 1920x1200(WUXGA)/ 밝기: 400nit/ / [CPU] AMD/ 라이젠5(Zen4)/ 8640U (3.5GHz)/ NPU: 16TOPS/ / [그래픽] 내장그래픽/Radeon 760M/ 8core/ / SSD 512GB,https://prod.danawa.com/info/?pcode=98919359&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
ASUS ROG STRIX G16 G614FR-S5122,3149000,4.8,4815,노트북/ 40.6cm(16인치)/ 2.5kg/ OS미포함(프리도스)/ / [화면] 해상도: 2560x1600(WQXGA)/ 밝기: 500nit/ 주사율: 240Hz/ / [CPU] AMD/라이젠9(Zen5)/9955HX3D (5.4GHz)/ / [그래픽] 외장그래픽/ RTX5070 Ti/ TGP: 140W/ / 최고의 노트북 배터리 관리는 '스마트'한 습관입니다!,https://prod.danawa.com/info/?pcode=81062753&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
삼성전자 갤럭시북4 NT750XGR-A51A,1010000,4.9,497077,노트북/ 39.6cm(15.6인치)/ 1.55kg/ OS미포함(프리도스)/ / [화면] 해상도: 1920x1080(FHD)/ / [CPU] 인텔/ 코어i5-13세대/ i5-1335U (1.3GHz)/ / [그래픽] 내장그래픽/Iris Xe/ / 최고의 노트북 배터리 관리는 '스마트'한 습관입니다! / SSD 256GB / SSD 512GB,https://prod.danawa.com/info/?pcode=44762393&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
LG전자 2026 그램 프로16 16Z90U-KU7BK,2848800,,,LG전자 2026 그램 프로16 16Z90U-KU7BK / AI노트북/ 40.6cm(16인치)/ 1.19kg/ 윈도우11홈/ / [화면] 해상도: 2880x1600(WQXGA+)/ 주사율: 120Hz/ / [CPU] 인텔/코어 울트라X7(S3)/358H (4.8GHz)/ NPU: 47TOPS/ / [그래픽] 내장그래픽/Arc B390/ 12core/ / 신소재 탑재한 2026 그램 총정리 / SSD 512GB,https://prod.danawa.com/info/?pcode=103453775&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
