상품명,가격,별점,리뷰 수,스펙,상품 상세 URL
피씨스토어 화이트 어항 PC 7500F RTX5060 360,2194840,5.0,27075004060280,"7500F/RTX 5060/ (AMD) B650/ OS미포함/ 750W/ AMD/라이젠 7000시리즈/라이젠5/ 라파엘/ DDR5/ 32GB/ M.2/ 500GB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 500GB / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=29826020&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
Beelink GTR9 Pro 395 해외구매,2775900,1.0,101,"해외구매/395/8060S/ 230W/ AMD/라이젠 300시리즈/라이젠AI Max+/스트릭스 헤일로/AMD 라이젠 AI/50TOPS/LPDDR5X/ 128GB/AMD/ 스피커 내장형/ 10Gbps 유선/802.11be(Wi-Fi 7) 무선/ 블루투스/ 듀얼랜/ HDMI/ DP포트/ USB3.x 10Gbps/ USB C타입 40Gbps/ USB C타입 10Gbps/ 마이크 내장/ 파워서플라이/ 미니PC / 128GB, SSD 2TB",https://prod.danawa.com/info/?pcode=99714509&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91
ASUS MiniPC PB63-B-BN0138MH i5-14400 150W M.2 대원씨티에스,985000,,,"i5-14400/ UHD 730/ (인텔) B760/ OS미포함/ 인텔/코어 14세대/코어i5/ 랩터레이크-R/ DDR5/ 8GB/ M.2/ 128GB/INTEL/ 2.5Gbps 유선/802.11ax(Wi-Fi 6E) 무선/ 블루투스/ HDMI/ DP포트/ USB3.x 10Gbps/ USB3.x 5Gbps/ USB C타입 20Gbps/ DC/ 미니PC/ 1.18kg/ 용도: 사무/인강용 / 브랜드PC/조립PC > 브랜드PC / 8GB, M.2 128GB / 8GB, M.2 256GB / 8GB, M.2 512GB / 8GB, M.2 1TB / 8GB, M.2 2TB / 32GB, M.2 1TB / 32GB, M.2 2TB",https://prod.danawa.com/info/?pcode=99896384&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=11236094
다나와표준PC 게임용 251214,1798930,,,"9600X/RTX 5060/(AMD) B850/ OS미포함/ 1000W/ AMD/라이젠 9000시리즈/라이젠5/그래니트 릿지/ DDR5/ 16GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 > 다나와표준PC / 16GB, M.2 1TB",https://prod.danawa.com/info/?pcode=101544020&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=11316681
※ 삼성전자 DDR4 16G PC4-17000 2133 데스크탑 양면중고 ※,132000,,,,http://dmall.danawa.com/sale/saleView.php?nSaleSeq=52474597&nCateC1=861&nCateC2=874&nCateC3=0&nCateC4=0
※ 삼성전자 DDR4-3200 25600 (16GB) 데스크탑 단면 중고 ※,176000,,,※ 삼성전자 DDR4-3200 25600 (16GB) 데스크탑 단면 중고 ※,http://dmall.danawa.com/sale/saleView.php?nSaleSeq=52474596&nCateC1=861&nCateC2=874&nCateC3=0&nCateC4=0
※ PATRIOT DDR4-2133 17000 CL15 (16GB) 데스크탑 중고 ※,110000,,,※ PATRIOT DDR4-2133 17000 CL15 (16GB) 데스크탑 중고 ※,http://dmall.danawa.com/sale/saleView.php?nSaleSeq=52474584&nCateC1=861&nCateC2=874&nCateC3=0&nCateC4=0
"영웅컴퓨터 영웅 게이밍울트라 7546GT R5 7500F RTX5060Ti (32GB, M.2 1TB)",1999790,,,"영웅컴퓨터 영웅 게이밍울트라 7546GT R5 7500F RTX5060Ti (32GB, M.2 1TB)",https://prod.danawa.com/info/?pcode=49362812&cate1=860&cate2=867&cate3=44391&cate4=0&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91
"포유컴퓨터 퍼포먼스PC 47 R5 7400F RTX5060Ti (32GB, M.2 1TB)",2056560,,,"포유컴퓨터 퍼포먼스PC 47 R5 7400F RTX5060Ti (32GB, M.2 1TB)",https://prod.danawa.com/info/?pcode=26573171&cate1=860&cate2=867&cate3=44391&cate4=0&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91
"MSI MAG Codex Z2 A7NVV R7-9800X3D RTX 5080 게이밍 (32GB, M.2 1TB)",4178990,,,"MSI MAG Codex Z2 A7NVV R7-9800X3D RTX 5080 게이밍 (32GB, M.2 1TB)",https://prod.danawa.com/info/?pcode=101013083&cate1=860&cate2=867&cate3=44391&cate4=0&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91
"영웅컴퓨터 영웅 게이밍울트라 7856 R7 7800X3D RTX5060 (32GB, M.2 1TB)",2149830,,,"영웅컴퓨터 영웅 게이밍울트라 7856 R7 7800X3D RTX5060 (32GB, M.2 1TB)",https://prod.danawa.com/info/?pcode=95420654&cate1=860&cate2=867&cate3=44391&cate4=0&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91
"포유컴퓨터 퍼포먼스PC 47 R5 7400F RTX5060Ti (16GB, M.2 500GB)",1651750,,,"포유컴퓨터 퍼포먼스PC 47 R5 7400F RTX5060Ti (16GB, M.2 500GB)",https://prod.danawa.com/info/?pcode=26558177&cate1=860&cate2=867&cate3=44391&cate4=0&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91
"영웅컴퓨터 영웅 게이밍울트라 7857 R7 7800X3D RTX5070 (32GB, M.2 1TB)",2619750,,,"영웅컴퓨터 영웅 게이밍울트라 7857 R7 7800X3D RTX5070 (32GB, M.2 1TB)",https://prod.danawa.com/info/?pcode=80164475&cate1=860&cate2=867&cate3=44391&cate4=0&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91
